,train,val,test
0,00PH05989,00PH05781,00PH08593
1,00PH05995,00PH13176,00PH08668
2,00PH07791,00PL12856,00PL03971
3,00PH10378,00PL17116,00PL06188
4,00PH11709,00PL19063,00PL07187
5,00PH11716,01PH03251,00PL09451
6,00PH12441,01PH05174,00PL10946
7,00PH13128,01PH05600,00PL11609
8,00PH13943,01PH06314,00PL17378
9,00PL02782,01PL09893,00PL19523
10,00PL02993,01PL12326,00PL20055
11,00PL03333,01PL12906,00PL20157
12,00PL04028,01PL13216,00PL23151
13,00PL04551,01PL13269,01PH02546
14,00PL04597,01PL13526,01PH03734
15,00PL04653,01PL16519,01PH04218
16,00PL05539,01PL19632,01PH04827
17,00PL05622,01PL21782,01PH05043
18,00PL06930,02PH04128,01PH05421
19,00PL07113,02PH13413,01PH13920
20,00PL07211,02PL01562,01PH14406
21,00PL07961,02PL01579,01PH15504
22,00PL08532,02PL03484,01PL02408
23,00PL09231,02PL06480,01PL08253
24,00PL10025,02PL11887,01PL11463
25,00PL10721,02PL12254,01PL12898
26,00PL11767,02PL12911,01PL13762
27,00PL12141,02PL14885,01PL16539
28,00PL12608,02PL15452,01PL19108
29,00PL12875,02PL15460,01PL19749
30,00PL13067,02PL17738,01PL22352
31,00PL15410,02PL20728,01PL23607
32,00PL15947,03PH01793,02PH01539
33,00PL15965,03PH01843,02PH01826
34,00PL16135,03PH02311,02PH03333
35,00PL16502,03PH04550,02PH07181
36,00PL16790,03PL04847,02PH08016
37,00PL16815,03PL08744,02PH08981
38,00PL18230,99PL13564,02PH10687
39,00PL18940,,02PH11361
40,00PL19261,,02PL00424
41,00PL19280,,02PL01217
42,00PL19834,,02PL01716
43,00PL19843,,02PL01744
44,00PL20018,,02PL07743
45,00PL20995,,02PL09173
46,00PL21057,,02PL10819
47,00PL21161,,02PL11441
48,00PL21319,,02PL11852
49,00PL23929,,02PL11891
50,01PH03589,,02PL12136
51,01PH05040,,02PL12403
52,01PH05177,,02PL15947
53,01PH05371,,02PL21520
54,01PH05603,,02PL21996
55,01PH06561,,02PL23599
56,01PH06909,,03PH00332
57,01PH07181,,03PH02891
58,01PH07648,,03PH04208
59,01PH08816,,03PL06989
60,01PH08900,,03PL07815
61,01PH09524,,03PL07954
62,01PH11519,,03PL08608
63,01PH12493,,99PL20994
64,01PH12500,,
65,01PH12942,,
66,01PH13351,,
67,01PH13496,,
68,01PH13558,,
69,01PH14251,,
70,01PH14922,,
71,01PH15063,,
72,01PH15073,,
73,01PH15253,,
74,01PL01873,,
75,01PL03657,,
76,01PL03722,,
77,01PL03900,,
78,01PL06957,,
79,01PL07132,,
80,01PL07277,,
81,01PL08187,,
82,01PL08254,,
83,01PL08327,,
84,01PL09123,,
85,01PL09596,,
86,01PL10158,,
87,01PL11513,,
88,01PL11853,,
89,01PL13078,,
90,01PL13664,,
91,01PL13772,,
92,01PL13892,,
93,01PL14006,,
94,01PL14034,,
95,01PL18374,,
96,01PL19652,,
97,01PL20257,,
98,01PL20654,,
99,01PL20724,,
100,01PL21801,,
101,01PL22701,,
102,01PL22799,,
103,01PL23319,,
104,01PL23521,,
105,02PH00265,,
106,02PH01489,,
107,02PH01536,,
108,02PH01679,,
109,02PH02227,,
110,02PH02816,,
111,02PH03522,,
112,02PH04125,,
113,02PH05092,,
114,02PH06492,,
115,02PH06781,,
116,02PH06827,,
117,02PH08020,,
118,02PH08229,,
119,02PH09140,,
120,02PH09628,,
121,02PH09884,,
122,02PH09924,,
123,02PH10009,,
124,02PH10874,,
125,02PH10924,,
126,02PH11587,,
127,02PH12701,,
128,02PH12967,,
129,02PH13015,,
130,02PH13507,,
131,02PH14797,,
132,02PH15258,,
133,02PH15632,,
134,02PL00186,,
135,02PL01505,,
136,02PL02775,,
137,02PL03585,,
138,02PL03719,,
139,02PL05223,,
140,02PL06519,,
141,02PL06521,,
142,02PL06622,,
143,02PL07217,,
144,02PL07608,,
145,02PL08716,,
146,02PL08722,,
147,02PL09108,,
148,02PL09219,,
149,02PL10401,,
150,02PL10863,,
151,02PL10929,,
152,02PL11431,,
153,02PL11880,,
154,02PL13481,,
155,02PL16066,,
156,02PL16594,,
157,02PL16611,,
158,02PL17098,,
159,02PL17135,,
160,02PL18214,,
161,02PL18285,,
162,02PL18858,,
163,02PL19090,,
164,02PL19416,,
165,02PL19422,,
166,02PL19615,,
167,02PL20264,,
168,02PL21200,,
169,02PL21918,,
170,02PL22089,,
171,02PL22109,,
172,02PL22612,,
173,02PL23656,,
174,02PL24129,,
175,02PL24187,,
176,02PL24398,,
177,03PH00336,,
178,03PH01091,,
179,03PH01631,,
180,03PH02177,,
181,03PH02814,,
182,03PH02883,,
183,03PH03148,,
184,03PL00041,,
185,03PL00299,,
186,03PL00678,,
187,03PL01750,,
188,03PL03441,,
189,03PL03462,,
190,03PL04143,,
191,03PL04841,,
192,03PL05923,,
193,03PL06371,,
194,03PL06465,,
195,03PL06476,,
196,03PL06899,,
197,03PL06911,,
198,03PL06992,,
199,03PL07927,,
200,03PL08632,,
201,03PL08780,,
202,03PL09629,,
203,03PL09850,,
204,03PL10195,,
205,99PL12085,,
206,99PL12156,,
207,99PL13655,,
208,99PL14524,,
209,99PL15791,,
210,99PL19943,,
211,99PL20269,,
212,99PL20301,,
213,99PL20315,,
214,99PL20723,,
215,99PL20789,,
216,99PL20958,,
217,99PL20989,,
